author,paper_title,paper_count
Mukesh Prasad,title:,4
Mukesh Prasad,accurate traffic flow prediction in heterogeneous vehicular networks in an intelligent transport system using a supervised non-parametric classifier,4
Mukesh Prasad,deep sparse representation classifier for facial recognition and detection system,4
Mukesh Prasad,virtual ization in wireless sensor networks: fault,4
Akshansh Gupta,title:,1
Neha Bharill,title:,4
Neha Bharill,enhanced cluster validity index for the evaluation,4
Neha Bharill,a novel scalable apache spark based feature extraction approaches,4
Neha Bharill,quantum-inspired evolutionary approach for selection of optimal parameters of fuzzy clustering,4
Om Prakash Patel,title:,3
Om Prakash Patel,enhanced quantum-based neural network learning and its application to signature verification,3
Om Prakash Patel,novel quantum inspired binary neural network algorithm,3
Aruna Tiwari,title:,7
Aruna Tiwari,sysnetanalytics ieee dsaa,7
Aruna Tiwari,breast cancer diagnosis using genetically optimized neural network,7
Aruna Tiwari,enhanced cluster validity index for the evaluation,7
Aruna Tiwari,corresponding author 1 on the construction of extreme learning machine for online and offline,7
Aruna Tiwari,service evolution analytics: change and evolution mining of a distributed system,7
Aruna Tiwari,a novel scalable apache spark based feature extraction approaches,7
Suresh Kumar Gupta,2004 kluwer academic publishers printed in the netherlands,1
Ipseeta Mohanty,2004 kluwer academic publishers printed in the netherlands,1
Keval Krishan Talwar,2004 kluwer academic publishers printed in the netherlands,1
Sujata Joshi,2004 kluwer academic publishers printed in the netherlands,1
Dharamvir Singh Arya,2004 kluwer academic publishers printed in the netherlands,1
Ajeet Kumar,nanoscience and nanotechnology,1
Mao-Sung Wu,nanoscience and nanotechnology,1
Yu-An Huang,nanoscience and nanotechnology,1
Chung-Hsien Yang,nanoscience and nanotechnology,1
Cells Recognizing,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 51415392,1
Sequestered Antigen,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 51415392,1
Cutting Edge,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 51415392,1
Like Lesions Induced,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 51415392,1
Clin Pharma,first in human study of bamlanivimab in a randomized trial of hospitalized patients with covid 19,1
Jeffrey Kenvin,1school of chemistry and biochemistry georgia institute of technolog y atlanta ga usa,1
Ia Khmaladze,mannan induces ros-regulated il-17a dependent psoriasis arthritis-like disease in mice,1
Tiina Kelkka,mannan induces ros-regulated il-17a dependent psoriasis arthritis-like disease in mice,1
Simon Guerard,mannan induces ros-regulated il-17a dependent psoriasis arthritis-like disease in mice,1
Kajsa Wing,mannan induces ros-regulated il-17a dependent psoriasis arthritis-like disease in mice,1
Angela Pizzolla,mannan induces ros-regulated il-17a dependent psoriasis arthritis-like disease in mice,1
Dan Wang,maternal and fetal factors associated with mortality and morbidity in a multi racial ethnic registry of anti-ssa ro associated cardiac neonatal lupus,1
Carolina Llanos,maternal and fetal factors associated with mortality and morbidity in a multi racial ethnic registry of anti-ssa ro associated cardiac neonatal lupus,2
Carolina Llanos,maternal use of hydroxychloroquine is associated with a reduced risk of recurrent anti-ssa ro-antibody associated cardiac manifestations of neonatal lupus,2
Deborah Friedman,maternal and fetal factors associated with mortality and morbidity in a multi racial ethnic registry of anti-ssa ro associated cardiac neonatal lupus,2
Deborah Friedman,maternal use of hydroxychloroquine is associated with a reduced risk of recurrent anti-ssa ro-antibody associated cardiac manifestations of neonatal lupus,2
Nathalie Costedoat-Chalumeau,maternal use of hydroxychloroquine is associated with a reduced risk of recurrent anti-ssa ro-antibody associated cardiac manifestations of neonatal lupus,1
Jean-Charles Piette,maternal use of hydroxychloroquine is associated with a reduced risk of recurrent anti-ssa ro-antibody associated cardiac manifestations of neonatal lupus,1
Forest Service,moisture barrier properties of xylan composite films,1
Gurumoorthy Krishnamoorthy,npgrj nm 1975 626 633,1
Reinhard Mentele,npgrj nm 1975 626 633,1
Avraham Ben-Nun,npgrj nm 1975 626 633,1
Hans Lassmann,npgrj nm 1975 626 633,1
Klaus Dornmair,npgrj nm 1975 626 633,1
Ellen Ginzler,phase iii iv randomized fifty two week study of the efficacy and safety of belimumab in patients of black african ancestry with systemic lupus erythematosus,1
Luiz Sergio Guedes Barbosa,phase iii iv randomized fifty two week study of the efficacy and safety of belimumab in patients of black african ancestry with systemic lupus erythematosus,1
David D'Cruz,phase iii iv randomized fifty two week study of the efficacy and safety of belimumab in patients of black african ancestry with systemic lupus erythematosus,1
Richard Furie,phase iii iv randomized fifty two week study of the efficacy and safety of belimumab in patients of black african ancestry with systemic lupus erythematosus,1
Kathleen Maksimowicz-McKinnon,phase iii iv randomized fifty two week study of the efficacy and safety of belimumab in patients of black african ancestry with systemic lupus erythematosus,1
Ishani Khurana,removal of dyes using graphene-based composites: a review,1
Water Air Soil Pollut,removal of dyes using graphene-based composites: a review,1
Rashmi Ranade,10 11648 j ajls 20140205 17,1
Prem Pritam,10 11648 j ajls 20140205 17,1
Neelu Joshi,10 11648 j ajls 20140205 17,1
Sirisha Lakshmi Vavilala,10 11648 j ajls 20140205 17,1
Ankita Jain,10 11648 j ajls 20140205 17,5
Ankita Jain,paper title (use style: paper title),5
Ankita Jain,international journal of advanced computer research (issn (print): 2249 -7277 issn (online): 2277 -7970),5
Ankita Jain,performance analysis of nmos for higher speed and low power applications,5
Ankita Jain,reena kumari behera pallavi kharade suresh yerva pranali dhane ankita jain and krishnan kutty,5
Prakriti Sinha,ijpsr (2009) issue 1 vol,1
Setlur Nagesh,p khobragade1 2 a jain2 s v setlur nagesh2 s andreana3 r dziak4 s k sunkara4,1
Toshiba Stroke,p khobragade1 2 a jain2 s v setlur nagesh2 s andreana3 r dziak4 s k sunkara4,3
Toshiba Stroke,quantitative comparison using generalized relative object detectability (g-rod) metrics of an amorphous selenium detector with high resolution microangiographic fluoroscopes (maf) and standard flat panel detectors (fpd),3
Toshiba Stroke,a jaina h takemotob m d silverc s v s nagesha c n ionitaa d r bednareka and s,3
Setlur Nagesha,quantitative comparison using generalized relative object detectability (g-rod) metrics of an amorphous selenium detector with high resolution microangiographic fluoroscopes (maf) and standard flat panel detectors (fpd),1
Vernon Hills,a jaina h takemotob m d silverc s v s nagesha c n ionitaa d r bednareka and s,1
Mohit Bhandari,reliability validity and responsiveness of the western ontario mcmaster osteoarthritis index (womac) in the elderly population with a femoral neck fracture,1
Peter Patka,reliability validity and responsiveness of the western ontario mcmaster osteoarthritis index (womac) in the elderly population with a femoral neck fracture,1
Vasanthakumar Namasivayam,understanding the prevalence and geographic heterogeneity of sars-cov-2 infection: findings of the first serosurvey in uttar pradesh india,1
Nooshin Anari,1department of computer kerman islamic azad university kerman iran,1
Hadi Saboohi,1department of computer kerman islamic azad university kerman iran,1
Gholamreza Ahakian,1department of computer kerman islamic azad university kerman iran,1
Web Services,1department of computer kerman islamic azad university kerman iran,1
Animesh Chaturvedi,enter title here (14 pt type size uppercased bold and centered over two columns),9
Animesh Chaturvedi,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 261039283,9
Animesh Chaturvedi,automated web service change management,9
Animesh Chaturvedi,call graph evolution analytics over a version series of an evolving software system,9
Animesh Chaturvedi,paper title (use style: paper title),9
Animesh Chaturvedi,indian institute of information technology design and manufacturing - jabalpur,9
Animesh Chaturvedi,sysnetanalytics ieee dsaa,9
Animesh Chaturvedi,transaction regular paper title,9
Animesh Chaturvedi,service evolution analytics: change and evolution mining of a distributed system,9
Call Graph,call graph evolution analytics over a version series of an evolving software system,1
Anjana Sharma,aa mdi,1
Animesh Navin Chaturvedi,aa mdi,1
Tiffany McKerahan,stable network evolution,5
Tiffany McKerahan,sysevorecomd,5
Tiffany McKerahan,system network complexity,5
Tiffany McKerahan,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 357916473,5
Tiffany McKerahan,opinion of engineering students on the use of live online lectures,5
Subset Service,indian institute of information technology design and manufacturing - jabalpur,1
Nicolas Spyratos,sysnetanalytics ieee dsaa,1
Pranali Dhane,paper title (use style: paper title),2
Pranali Dhane,reena kumari behera pallavi kharade suresh yerva pranali dhane ankita jain and krishnan kutty,2
Depth Map Generation,international journal of advanced computer research (issn (print): 2249 -7277 issn (online): 2277 -7970),1
Anshu Sisodhiya,international journal of advanced computer research (issn (print): 2249 -7277 issn (online): 2277 -7970),1
Kamal Kishor Jha,performance analysis of nmos for higher speed and low power applications,1
Manisha Pattanaik,performance analysis of nmos for higher speed and low power applications,1
Anurag Srivastava,performance analysis of nmos for higher speed and low power applications,1
Reena Kumari Behera,reena kumari behera pallavi kharade suresh yerva pranali dhane ankita jain and krishnan kutty,1
Pallavi Kharade,reena kumari behera pallavi kharade suresh yerva pranali dhane ankita jain and krishnan kutty,1
Suresh Yerva,reena kumari behera pallavi kharade suresh yerva pranali dhane ankita jain and krishnan kutty,1
Pooran Singh,mergedfile,1
Shankar Biradar,combating the infodemic: covid-19 induced fake news recognition in social media networks,3
Shankar Biradar,fighting hate speech from bilingual hinglish speaker s perspective a transformer- and translation-based approach,3
Shankar Biradar,mbert based model for identification of offensive content in south indian languages,3
Sunil Saumya,mbert based model for identification of offensive content in south indian languages,1
Arun Chauhan,mbert based model for identification of offensive content in south indian languages,1
Surender Singh Samant,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 322757422,2
Surender Singh Samant,categorization of event clusters from twitter using term weighting schemes,2
Prafulla Kalapatapu,a study on feature selection and classification techniques of indian music,1
Dravidian Languages,an ensemble model for sentiment classification,1
Aruna Malapati,an ensemble model for sentiment classification,9
Aruna Malapati,proceedings of the second workshop on speech and language technologies for dravidian languages pages 151 - 157,9
Aruna Malapati,categorization of event clusters from twitter using term weighting schemes,9
Aruna Malapati,enhancing the performance of t elugu named entity,9
Aruna Malapati,sai kiranmai gorla lalita bhanu murthy neti and aruna malapati,9
Aruna Malapati,saikiranmai gorla sriharshitha v elivelli n l bhanu murthy aruna malapati,9
Aruna Malapati,sedtwik: segmentation-based event detection from tweets using wikipedia,9
Aruna Malapati,proceedings of the second workshop on speech and language technologies for dravidian languages pages 184 - 190,9
Aruna Malapati,towards next-generation alert management of data centers,9
Lov Kumar,an ensemble model for sentiment classification,3
Lov Kumar,proceedings of the second workshop on speech and language technologies for dravidian languages pages 151 - 157,3
Lov Kumar,proceedings of the second workshop on speech and language technologies for dravidian languages pages 184 - 190,3
Chair Preprint,an ensemble model for sentiment classification,1
