author,file_path,raw_filename,sha256_hash,pdf_title_raw,first_page_raw,normalized_title,canonical_title
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques.pdf,c39c2ce27d11346f8fdcacc8f345e9731eb192699dc526aabba57dae9de221da,Title:,,title:,title:
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Cardioprotection from ischemia.pdf,Cardioprotection from ischemia.pdf,6f5784c5d1d0cf68a1e086dc853ffbe919ceeb0b051c85b5fe99e19db8cd7e01,© 2004 Kluwer Academic Publishers. Printed in the Netherlands.,"39Molecular and Cellular Biochemistry 260: 39–47, 2004. © 2004 Kluwer Academic Publishers. Printed in the Netherlands. Cardioprotection from ischemia and reperfusion injury by Withania somnifera: A hemodynamic, biochemical and histopathological assessment Suresh Kumar Gupta,1 Ipseeta Mohanty,1 Keval Krishan Talwar,2 Amit Dinda,3 Sujata Joshi,1 Pankaj Bansal,1 Amit Saxena1 and Dharamvir Singh Arya1 Departments of 1Pharmacology, 2Cardiology and 3Pathology, All India Institute of Medical Sciences, New Delhi, India Received 26 March 2003; accepted 10 September 2003 Abstract The efficacy of Withania somnifera (Ws) to limit myocardial injury after ischemia and reperfusion was explored and compared to that of Vit E, a reference standard known to reduce mortality and infarct size due to myocardial infarction. Wistar rats (15 0– 200 g) were divided into six groups and received orally saline (sham, control group), Ws-50/kg (Ws control and treated group) and Vit E-100 mg/kg (Vit E control and treated group) respectively for 1 month. On the 31st day, rats of the control, Vit E and Ws treated groups were anesthetized and subjected to 45 min occlusion of the LAD coronary artery followed by 60 min reperfusion. Hemodynamic parameters: systolic, diastolic and mean arterial pressure (SAP, DAP, MAP), heart rate (HR), left ventricular end diastolic pressure (LVEDP), left ventricular peak (+)LVdP/dt and (–)LVdP/dt were monitored. Hearts were removed and processed for histopathological and biochemical studies: Myocardial enzyme viz, creatin phosphokinase (CPK), and antioxidant parameters: malondialdehyde (MDA), glutathione (GSH), superoxide dismutase (SOD), catalase (CAT), glu- tathione peroxidase (GSHPx) were estimated. Postischemic reperfusion produced significant cardiac necrosis, depression of left ventricular functions (MAP, LVEDP, (+) and (–)LVdP/dt) and a significant fall in GSH (p < 0.01), SOD, CAT (p < 0.05), LDH and CPK (p < 0.01) as well as an increase in MDA level (p < 0.05) in the control group rats as compared to sham group. The changes in levels of protein and GPx was however, not significant. Ws and Vit E favorably modulated most of the hemo- dynamic, biochemical and histopathological parameters though no significant restoration in GSH, MAP (with Vit E) were ob- served. Ws on chronic administration markedly augmented antioxidants (GSH, GSHPx, SOD, CAT) while Vit E did not stimulate the synthesis of endogenous antioxidants compared to sham. Results indicate that Ws significantly reduced myocardial injury and emphasize the beneficial action of Ws as a cardioprotective agent. (Mol Cell Biochem 260: 39–47, 2004) Key words : myocardial infarction, Withania somnifera, Vitamin E, reperfusion, antioxidants, adaptogens ischemia, restitution of coronary blood flow following is- chemia has deleterious consequences on cardiac function and may lead to an extension of myocardial tissue injury [1]. During ischemia and reperfusion of the heart, oxygen free radicals (OFR) are thought to play an important role in the pathogenesis of MI [2]. Furthermore, there is much evidence Address for offprints : S.K. Gupta, Department of Pharmacology, All India Institute of Medical Sciences, Ansari Nagar, New Delhi 110029, India (E-mail : skgup@hotmail.com)Introduction Myocardial infarction (MI) is a therapeutic enigma with high morbidity and mortality rate. Extensive experimental stud- ies have been performed to further our understanding of the pathophysiology of irreversible myocardial damage. Besides",2004 kluwer academic publishers printed in the netherlands,2004 kluwer academic publishers printed in the netherlands
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Controlled synthesis.pdf,Controlled synthesis.pdf,3bd6f7627d612464df3bf6758cd1ae4244a7ca3d6a68e1aa491761ab553794e6,Nanoscience and Nanotechnology,"Advances in Natural Sciences: Nanoscience and Nanotechnology PAPER • OPEN ACCESS Controlled synthesis of size-tunable nickel and nickel oxide nanoparticles using water-in-oil microemulsions To cite this article: Ajeet Kumar et al 2013 Adv. Nat. Sci: Nanosci. Nanotechnol. 4 025009 View the article online for updates and enhancements. You may also like Capacitive Behavior of Porous Nickel Oxide/Hydroxide Electrodes with Interconnected Nanoflakes Synthesized by Anodic Electrodeposition Mao-Sung Wu, Yu-An Huang and Chung- Hsien Yang - Nickel oxide nanotube synthesis using multiwalled carbon nanotubes as sacrificial templates for supercapacitor application Ahmed M Abdalla, Rakesh P Sahu, Cameron J Wallar et al. - Influence of transverse magnetic field on the properties of laser ablation produced nickel oxide nanoparticles Mina Safa, Davoud Dorranian, Amir Ali Masoudi et al. - This content was downloaded from IP address 122.184.65.228 on 22/02/2023 at 18:53",nanoscience and nanotechnology,nanoscience and nanotechnology
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Cutting Edge.pdf,Cutting Edge.pdf,aad29c749d29abed59d3b0dc79ac2cd665f5c2830b485b4ca937009e25bff5c1,"See discussions, st ats, and author pr ofiles f or this public ation at : https://www .researchgate.ne t/public ation/51415392","See discussions, st ats, and author pr ofiles f or this public ation at : https://www .researchgate.ne t/public ation/51415392 Cutting Edge: Multiple Sclerosis-Like Lesions Induced by Effector CD8 T Cells Recognizing a Sequestered Antigen on Oligodendrocytes Article in The Journal of Immunolog y · August 2008 DOI: 10.4049/ jimmunol.181.3.1617 · Sour ce: PubMed CITATIONS 126READS 203 10 author s, including: Some o f the author s of this public ation ar e also w orking on these r elat ed pr ojects: Optic al coher ence tomogr aphy in multiple scler osis View pr oject Dendritic c ells as ther apeutic t arget in multiple scler osis View pr oject Amit Sax ena French Instit ute of He alth and Medic al R esearch 11 PUBLICA TIONS 798 CITATIONS SEE PROFILE Jan Bauer Medic al Univ ersity of V ienna 233 PUBLICA TIONS 13,526 CITATIONS SEE PROFILE Mar c Audebert French National Instit ute for Agricult ure, Food, and Envir onment (INR AE) 90 PUBLICA TIONS 3,365 CITATIONS SEE PROFILE Ari W aisman Johannes Gut enber g-Univ ersität Mainz 540 PUBLICA TIONS 24,111 CITATIONS SEE PROFILE All c ontent f ollo wing this p age was uplo aded b y Mar c Audebert on 16 May 2014. The user has r equest ed enhanc ement of the do wnlo aded file.",see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 51415392,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 51415392
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Endogenous IRAK-M Attenuates.pdf,Endogenous IRAK-M Attenuates.pdf,5c81583bf33781de43c0ade02988a2ea287d034be5f551382129799ece1fc703,Endogenous IRAK-M Attenuates Postinfarction Remodeling Through Effects on Macrophages and Fibroblasts,,endogenous irak-m attenuates postinfarction remodeling through effects on macrophages and fibroblasts,endogenous irak-m attenuates postinfarction remodeling through effects on macrophages and fibroblasts
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\First-in-Human Study.pdf,First-in-Human Study.pdf,34cfadce77c5dad60678e7e2c6cbcf308d3d67c193f23a1b8472d6b4721e5c5d,First‐in‐Human Study of Bamlanivimab in a Randomized Trial of Hospitalized Patients With COVID‐19,,first in human study of bamlanivimab in a randomized trial of hospitalized patients with covid 19,first in human study of bamlanivimab in a randomized trial of hospitalized patients with covid 19
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\High Oxygen Nanocomposite.pdf,High Oxygen Nanocomposite.pdf,e6ed5f2da7e0620ca71236d1b87d3114ce52534da9b82e65aa955f9f3d230055,"1School of Chemistry and Biochemistry, Georgia Institute of Technolog y, Atlanta, GA USA","NANO-MICRO LETTERS Vol. 2, No. 4 235-241 (2010 ) 1School of Chemistry and Biochemistry, Georgia Institute of Technolog y, Atlanta, GA USA 2USDA- Forest Service, Southern Research Station, 2500 Shreveport Highway, Pineville, LA, USA 3Micromeritics Instrument Corporation, Norcross, GA, USA *Corresponding author. E-mail: arthur.ragauskas@chemistry.gatech.edu High Oxygen Nanocomposite Barri er Films Based on Xylan and Nanocrystalline Cellulose Amit Saxena1, Thomas J. Elder2, Jeffrey Kenvin3 and Arthur J. Ragauskas1,* The goal of this work is to produce nanocomposite film with low oxygen permeability by casting an aqueous solution containing xylan, sorbitol and na nocrystalline cellulose. The morphology of the resulting nanocomposite films was examined by scanning electron microscopy and atomic force microscopy which showed that control films containing xylan and sorbitol had a more open structure as compared to xylan-sorbitol films containing su lfonated nanocrystalline cellulose. The average pore diameter, bulk density, porosity and tortuosity fa ctor measurements of control xylan films and nanocomposite xylan films were examined by me rcury intrusion porosimetry techniques. Xylan films reinforced with nanocrystalline cellulose were denser and exhibited higher tortuosity factor than the control xylan films. Control xylan films had average pore diameter, bulk density, porosity and tortuosity factor of 0.1730 μm, 0.6165 g/ml , 53.0161% and 1.258, respectively as compared to xylan films reinforced with 50% nanocrystalline cel lulose with average pore diameter of 0.0581 μm, bulk density of 1.1513 g/ml, porosity of 22.8906% and tortuosity factor of 2.005. Oxygen transmission rate tests demonstrated that fi lms prepared with xylan, sorbitol and 5%, 10%, 25% and 50% sulfonated nanocrystalline cellulose ex hibited a significantly reduced oxygen permeability of 1.1387, 1.0933, 0.8986 and 0.1799 cm3/g152μm/m2/g152d/g152kPa respectively with respect to films prepared solely from xylan and sorbitol with a oxygen permeability of 189.1665 cm3/g152μm/m2/g152d/g152kPa. These properties suggested these nanocomposite fi lms have promising barrier properties. Keywords: Nanocomposites; Xylan; Nanocrysta lline cellulose; Oxygen barrier Citation: Amit Saxena, Thomas J. Elder, Jeffrey Kenvin and Arthur J. Ragauskas, “ High Oxygen Nanocomposite Barrier Films Based on Xylan and Nanocrystalline Cellulose ”, Nano-Micro Lett. 2, 235-241 (2010). doi:10.3786/nml.v2i4. p235-241 Biobased plastics have generated increasing interest to replace petrochemical based polymers in light of their ready availability, sustainability, limited environm ental impact and simplified end-of-life disposal issues [1-4]. High barrier packaging materials require low oxygen permeability with good mechanical strength. Replacing existing oxygen barriers such as aluminum and synthetic polymers with biopolym ers is a research topic of increased interest. Early studies examined the use of chitosan, starch and cellulose derivatives to address these challenges and were shown to have good film forming properties [5]. Acetylated galactoglucomannan (AcGGM) hemicellulose was found to be an excellent candidate for making new renewable barrier materials [6]. The oxygen barrier permeability of the AcGGM films were found to be similar to, or lower than, the values reported on oxygen barrier films made from glucuronoxylan [7] and other polysaccharides, such as starch [8], chitosan [9] and mixtures of various polysaccharides [10]. Hartman reported oxyge n permeability of 2.0 cm 3/g152μm/m2/g152d/g152kPa for GGM-sorbitol film [6]. The oxygen barrier properties of films obtained from a mixture of O-acetyl-galactoglucomannan and either alginate or carboxymeth ylcellulose were also studied. The reported values of oxygen permeability of GGM/alginate/",1school of chemistry and biochemistry georgia institute of technolog y atlanta ga usa,1school of chemistry and biochemistry georgia institute of technolog y atlanta ga usa
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Mannan induces ROS-regulated.pdf,Mannan induces ROS-regulated.pdf,1fbfc27b6809a5980ac9acffffccd9940a96a7dcee97c70d420a627481619552,"Mannan induces ROS-regulated, IL-17A–dependent psoriasis arthritis-like disease in mice",,mannan induces ros-regulated il-17a dependent psoriasis arthritis-like disease in mice,mannan induces ros-regulated il-17a dependent psoriasis arthritis-like disease in mice
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Maternal and Fetal Factors.pdf,Maternal and Fetal Factors.pdf,436be799340424bfe344fc84238d45d44d5d03839e722585c1482c1dca3f0d86,Maternal and Fetal Factors Associated With Mortality and Morbidity in a Multi–Racial/Ethnic Registry of Anti-SSA/Ro–Associated Cardiac Neonatal Lupus,,maternal and fetal factors associated with mortality and morbidity in a multi racial ethnic registry of anti-ssa ro associated cardiac neonatal lupus,maternal and fetal factors associated with mortality and morbidity in a multi racial ethnic registry of anti-ssa ro associated cardiac neonatal lupus
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Maternal Use of Hydroxychloroquine.pdf,Maternal Use of Hydroxychloroquine.pdf,e98606f659e3afa0b0d1589ae6ba7f8f0780e8ee7de777a37ff5ae4062e197ec,Maternal Use of Hydroxychloroquine Is Associated With a Reduced Risk of Recurrent Anti-SSA/Ro-Antibody–Associated Cardiac Manifestations of Neonatal Lupus,,maternal use of hydroxychloroquine is associated with a reduced risk of recurrent anti-ssa ro-antibody associated cardiac manifestations of neonatal lupus,maternal use of hydroxychloroquine is associated with a reduced risk of recurrent anti-ssa ro-antibody associated cardiac manifestations of neonatal lupus
